Your Shortcuts,快速選擇,
ChinesePatient,病人資料,
Time(in mins),時間(分鐘）,
"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item（客戶提供的物品）"" 也不可被采購",
"""Customer Provided Item"" cannot have Valuation Rate","""Customer Provided Item（客戶提供的物品）"" 不允許擁有 Valuation Rate（估值比率）",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",是固定資產不能被反選，因為存在資產記錄的項目,
'Based On' and 'Group By' can not be same,“根據”和“分組依據”不能相同,
'Days Since Last Order' must be greater than or equal to zero,“ 最后的訂單到目前的天數”必須大于或等于零,
'Entries' cannot be empty,“分錄”不能為空,
'From Date' is required,“起始日期”是必需的,
'From Date' must be after 'To Date',“起始日期”必須早于'終止日期',
'Has Serial No' can not be 'Yes' for non-stock item,不能為非庫存物料勾選'是否有序列號',
'Opening',“打開”,
'To Case No.' cannot be less than 'From Case No.','結束箱號'不能小于'開始箱號',
'To Date' is required,“結束日期”必需設置,
'Total',&#39;總&#39;,
'Update Stock' can not be checked because items are not delivered via {0},因為物料還未通過{0）交付，“庫存更新'不能被勾選,
'Update Stock' cannot be checked for fixed asset sale,固定資產銷售不能選擇“更新庫存”,
) for {0},）為{0},
1 exact match.,1完全匹配。,
90-Above,90以上,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,同名的客戶組已經存在，請更改客戶姓名或重命名該客戶組,
A Default Service Level Agreement already exists.,已存在默認服務級別協議。,
A Lead requires either a person's name or an organization's name,領導者需要一個人的姓名或組織的名稱,
A customer with the same name already exists,已存在同名客戶,
A question must have more than one options,一個問題必須有多個選項,
A qustion must have at least one correct options,Question必須至少有一個正確的選項,
A {0} exists between {1} and {2} (,{1}和{2}之間存在{0}（,
A4,A4,
API Endpoint,應用程序界面端點,
API Key,應用程序界面密鑰,
Abbr can not be blank or space,縮寫不能為空或空格,
Abbreviation already used for another company,縮寫已用于另一家公司,
Abbreviation cannot have more than 5 characters,縮寫不能超過5個字符,
Abbreviation is mandatory,縮寫字段必填,
About the Company,關于公司,
About your company,關于貴公司,
Above,以上,
Absent,缺勤,
Academic Term,學期,
Academic Term: ,學術期限：,
Academic Year,學年,
Academic Year: ,學年：,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},已接收+已拒收數量須等于物料{0}的已接收數量,
Access Token,訪問令牌,
Accessable Value,可訪問的值,
Account,科目,
Account Number,帳號,
Account Number {0} already used in account {1},已在帳戶{1}中使用的帳號{0},
Account Pay Only,賬戶僅用于支付,
Account Type,科目類型,
Account Type for {0} must be {1},{0}的科目類型必須為{1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目余額已設置為'貸方'，不能設置為'借方',
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",賬戶余額已設置為'借方'，不能設置為'貸方',
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,科目{0}的科目號碼不可用。 <br>請正確設置您的會計科目表。,
Account with child nodes cannot be converted to ledger,科目與子節點不能轉換為分類賬,
Account with child nodes cannot be set as ledger,科目與子節點不能被設置為分類帳,
Account with existing transaction can not be converted to group.,有交易的科目不能被轉換為組。,
Account with existing transaction can not be deleted,有交易的科目不能被刪除,
Account with existing transaction cannot be converted to ledger,有交易的科目不能被轉換為分類賬,
Account {0} does not belong to company: {1},科目{0}不屬于公司：{1},
Account {0} does not belongs to company {1},科目{0}不屬于公司{1},
Account {0} does not exist,科目{0}不存在,
Account {0} does not exists,科目{0}不存在,
Account {0} does not match with Company {1} in Mode of Account: {2},科目{0}與科目模式{2}中的公司{1}不符,
Account {0} has been entered multiple times,科目{0}已多次輸入,
Account {0} is added in the child company {1},子公司{1}中添加了帳戶{0},
Account {0} is frozen,科目{0}已凍結,
Account {0} is invalid. Account Currency must be {1},科目{0}狀態為非激活。科目貨幣必須是{1},
Account {0}: Parent account {1} can not be a ledger,科目{0}的上級科目{1}不能是分類賬,
Account {0}: Parent account {1} does not belong to company: {2},科目{0}的上級科目{1}不屬于公司{2},
Account {0}: Parent account {1} does not exist,科目{0}的上級科目{1}不存在,
Account {0}: You can not assign itself as parent account,科目{0}不能是自己的上級科目,
Account: {0} can only be updated via Stock Transactions,科目{0}只能通過庫存處理更新,
Account: {0} with currency: {1} can not be selected,帳號：{0}幣種：{1}不能選擇,
Accountant,會計,
Accounting,會計,
Accounting Entry for Asset,資產會計分錄,
Accounting Entry for Stock,庫存的會計分錄,
Accounting Entry for {0}: {1} can only be made in currency: {2},會計分錄為{0}：{1}只能在貨幣做：{2},
Accounting Ledger,會計分類帳,
Accounting journal entries.,會計記賬日歷分錄。,
Accounts,會計,
Accounts Manager,會計經理,
Accounts Payable,應付帳款,
Accounts Payable Summary,應付帳款摘要,
Accounts Receivable,應收帳款,
Accounts Receivable Summary,應收賬款匯總,
Accounts User,會計人員,
Accounts table cannot be blank.,賬表不能為空。,
Accrual Journal Entry for salaries from {0} to {1},從{0}到{1}的薪金的應計手工憑證,
Accumulated Depreciation,累計折舊,
Accumulated Depreciation Amount,累計折舊額,
Accumulated Depreciation as on,作為累計折舊,
Accumulated Monthly,每月累計,
Accumulated Values,累積值,
Accumulated Values in Group Company,集團公司累計價值,
Achieved ({}),達到（{}）,
Action,行動,
Action Initialised,行動初始化,
Actions,操作,
Active,活動,
Activity Cost exists for Employee {0} against Activity Type - {1},顯存員工活動費用{0}對應活動類型 -  {1},
Activity Cost per Employee,每個員工活動費用,
Activity Type,活動類型,
Actual Cost,實際成本,
Actual Delivery Date,實際交貨日期,
Actual Qty,實際數量,
Actual Qty is mandatory,實際數量是必須項,
Actual Qty {0} / Waiting Qty {1},實際數量{0} /等待數量{1},
Actual Qty: Quantity available in the warehouse.,實際數量:倉庫可用量。,
Actual qty in stock,實際庫存數量,
Actual type tax cannot be included in Item rate in row {0},實際類型稅不能被包含在連續的物料等級中{0},
Add,添加,
Add / Edit Prices,添加/編輯價格,
Add Comment,添加評論,
Add Customers,添加客戶,
Add Employees,添加員工,
Add Item,新增,
Add Items,添加項目,
Add Leads,添加潛在客戶,
Add Multiple Tasks,添加多個任務,
Add Row,添加行,
Add Sales Partners,添加銷售合作伙伴,
Add Serial No,添加序列號,
Add Students,新增學生,
Add Suppliers,添加供應商,
Add Time Slots,添加時間空擋,
Add Timesheets,添加工時單,
Add Timeslots,添加時間空擋,
Add Users to Marketplace,將用戶添加到市場,
Add a new address,添加新地址,
Add cards or custom sections on homepage,在主頁上添加卡片或自定義欄目,
Add more items or open full form,添加更多項目或全開放形式,
Add notes,添加備注,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,添加您的組織的其余部分用戶。您還可以添加邀請客戶到您的門戶網站通過從聯系人中添加它們,
Add to Details,添加到詳細信息,
Add/Remove Recipients,添加/刪除收件人,
Added,添加,
Added to details,添加到細節,
Added {0} users,添加了{0}個用戶,
Additional Salary Component Exists.,額外的薪資組件存在。,
Address,地址,
Address Line 2,地址行2,
Address Name,地址名稱,
Address Title,地址名稱,
Address Type,地址類型,
Administrative Expenses,行政費用,
Administrative Officer,行政主任,
Administrator,管理員,
Admission,准入,
Admission and Enrollment,入學和入學,
Admissions for {0},對...的准入{0},
Admit,准入,
Admitted,准入,
Advance Amount,預付款總額,
Advance Payments,預付款,
Advance account currency should be same as company currency {0},預付科目貨幣應與公司貨幣{0}相同,
Advance amount cannot be greater than {0} {1},預付金額不能大于{0} {1},
Advertising,廣告,
Aerospace,航天,
Against,針對,
Against Account,針對的科目,
Against Journal Entry {0} does not have any unmatched {1} entry,針對的手工憑證{0}沒有不符合的{1}分錄,
Against Journal Entry {0} is already adjusted against some other voucher,針對的手工憑證{0}已經被其他憑證調整,
Against Supplier Invoice {0} dated {1},針對的日期為{1}的供應商費用清單{0},
Against Voucher,針對的憑證,
Against Voucher Type,針對的憑證類型,
Age,賬齡,
Age (Days),時間（天）,
Ageing Based On,賬齡基于,
Ageing Range 1,賬齡范圍1,
Ageing Range 2,賬齡范圍2,
Ageing Range 3,賬齡范圍3,
Agriculture,農業,
Agriculture (beta),農業（測試版）,
Airline,航空公司,
All Accounts,所有科目,
All Addresses.,所有地址。,
All Assessment Groups,所有評估組,
All BOMs,全部物料清單,
All Contacts.,所有聯系人。,
All Customer Groups,所有客戶群組,
All Day,全日,
All Departments,所有部門,
All Healthcare Service Units,所有醫療服務單位,
All Item Groups,所有物料群組,
All Jobs,所有職位,
All Products,所有產品,
All Products or Services.,所有的產品或服務。,
All Student Admissions,所有學生入學,
All Supplier Groups,所有供應商組織,
All Supplier scorecards.,所有供應商記分卡。,
All Territories,所有的區域,
All Warehouses,所有倉庫,
All communications including and above this shall be moved into the new Issue,包括及以上的所有通信均應移至新發行中,
All items have already been transferred for this Work Order.,所有物料已發料到該工單。,
All other ITC,所有其他ITC,
All the mandatory Task for employee creation hasn't been done yet.,尚未全部完成創建新員工時必要任務。,
